scenario_id,genre,situation,action_agg_1,action_agg_2,action_neu,action_coop_1,action_coop_2
sc_011,판타지,용의 알을 발견했다. 마을 사람들은 알을 팔아 마을을 재건하자고 하고 모험가 길드는 강제 수거를 요청한다.,'이 알은 우리가 발견했다. 길드든 마을이든 빼앗으려 들면 피를 볼 것이다'라고 선언한다.,길드 요원이 접근하자 무력으로 제압하고 알을 독점하려 한다.,알을 안전한 곳에 보관하며 길드와 마을 양쪽의 요구를 검토할 시간을 요청한다.,마을과 길드를 협상 테이블에 앉히고 중재자 역할을 맡아 합의를 이끌어낸다.,'알은 용에게 돌려줘야 하오. 마을 재건은 우리가 다른 방법으로 돕겠소'라고 제안한다.
sc_012,현대,아파트 층간 소음 문제로 위층 이웃과 갈등이 지속되고 있다.,층간 소음 측정기를 달고 기준치 초과 시마다 녹음하여 '다음엔 바로 고소장 낼 거야'라고 경고한다.,위층 이웃의 차를 막아 세우고 공개적으로 망신을 준다.,아파트 관리사무소에 공식 민원을 접수하고 처리 결과를 기다린다.,위층에 직접 찾아가 '불편하게 해서 죄송합니다. 어떻게 하면 서로 편할 수 있을지 이야기해요'라고 대화를 청한다.,소음 방지 매트를 사서 위층에 선물로 가져다주며 '같이 쓰면 서로 편할 것 같아요'라고 건넨다.
sc_013,서부,가뭄으로 인해 우물 하나를 두고 두 목장이 물 사용권을 다투고 있다.,'이 우물은 우리 땅에 있어. 당신들이 한 방울이라도 퍼가면 총을 쓸 거야'라고 위협한다.,경쟁 목장의 가축이 우물에 접근하지 못하도록 총을 쏘며 쫓아낸다.,판사를 불러 우물 소유권에 대한 법적 판결을 요청한다.,'가뭄이 해결될 때까지 사용 시간을 나눠 씁시다. 오전은 우리가 오후는 당신네가요'라고 제안한다.,상대 목장 가축이 목말라 쓰러지는 것을 보고 '지금 당장 가져다 쓰시오. 권리 문제는 나중에 정합시다'라고 허락한다.
sc_014,해적,폭풍으로 좌초된 배를 발견했다. 살아남은 사람들이 있으나 화물도 상당하다.,'생존자는 신경 꺼. 화물부터 챙겨라. 방해하면 처리해'라고 명령한다.,생존자들을 밧줄로 묶어 구석에 가둔 뒤 화물을 약탈한다.,생존자 수와 화물 규모를 파악한 뒤 수익성을 계산하며 판단을 미룬다.,화물 일부를 포기하더라도 생존자들을 인근 항구까지 데려다주겠다고 제안한다.,자신의 배에서 식량과 물을 내어주고 생존자들이 스스로 떠날 수 있도록 임시 수리를 도와준다.
sc_015,궁중,왕의 신임을 받던 스승이 역모 혐의를 받고 있다. 증거는 불충분하다.,'기회가 왔소. 스승을 제거하면 그 자리가 우리 것이오. 증거는 만들면 되오'라고 음모를 꾸민다.,역모 혐의를 과장한 익명 서신을 왕에게 전달하여 스승을 실각시키려 한다.,증거가 충분히 나올 때까지 공식적으로 중립을 지키며 상황을 관망한다.,왕 앞에 나아가 '전하 증거가 불충분합니다. 공정한 조사를 요청드립니다'라고 간언한다.,스승의 무고함을 믿으며 자신의 지위를 걸고 보증을 서겠다고 왕에게 청한다.
sc_016,SF,폐쇄된 우주 기지에서 한정된 연료로 두 팀이 각자 다른 방향으로 귀환해야 하는 상황이다.,'연료는 우리 팀이 먼저 쓸 거야. 당신들은 알아서 해'라며 연료고를 강제 점유한다.,다른 팀 몰래 밤사이 연료를 전부 옮겨 자기 팀 선박에 채운다.,양팀 대표가 모여 현재 연료량과 각 팀의 귀환 거리를 계산하며 객관적 수치를 확인한다.,'귀환 거리가 더 먼 팀이 연료를 더 가져가고 우리는 최소한만 쓰겠소'라고 제안한다.,자신의 팀 귀환을 포기하고 두 팀이 한 선박으로 함께 귀환할 수 있도록 연료를 양보한다.
sc_017,현대,스포츠 경기에서 상대팀 선수가 부상을 입었다. 심판이 한쪽에 유리한 판정을 내렸다.,'심판 판정이 우리한테 유리하면 된 거야. 부상? 운동하다 다치는 거 당연하지'라고 냉담하게 말한다.,부상당한 선수가 치료를 받는 사이 경기를 강행하자고 심판에게 강하게 요구한다.,팀 주장으로서 심판 판정은 따르되 부상 선수 상태를 확인하며 경기 재개 여부를 기다린다.,'저 판정은 우리한테 유리하지만 공정하지 않소. 다시 확인해 달라'고 심판에게 요청한다.,부상 선수에게 먼저 다가가 '괜찮으냐'고 묻고 경기보다 선수의 안전이 중요하다고 팀원들에게 말한다.
sc_018,무협,정파와 사파가 공통의 적 앞에서 일시적으로 손을 잡을지 결정해야 한다.,'사파와 손을 잡느니 혼자 싸우겠다. 저들을 믿는 순간 등에 칼을 맞는다'고 거부한다.,표면적으로는 연합에 동의하면서 사파 무리를 먼저 적과 싸우게 하여 소모시키려 한다.,연합 조건을 명문화하는 협약서를 작성할 것을 제안하며 신중하게 접근한다.,'공통의 적 앞에서 과거의 원한은 잠시 내려놓읍시다. 적을 물리친 후 시비를 가려도 늦지 않소'라고 말한다.,사파 수장에게 먼저 손을 내밀며 '당신들을 신뢰하겠소. 내가 먼저 앞장서겠소'라고 선언한다.
sc_019,판타지,저주받은 마을에서 제물을 요구하는 고대 정령과 마주쳤다. 마을 사람 중 하나를 제물로 바쳐야 한다고 한다.,마을 사람 중 가장 허약해 보이는 노인을 지목하며 '저 사람을 데려가시오'라고 말한다.,자신을 따르는 부하에게 '네가 영광스럽게 마을을 구하라'고 강제로 제물로 내민다.,정령과 협상 시간을 벌며 다른 방법이 있는지 탐색한다.,마을 사람들에게 상황을 솔직하게 알리고 자원자를 먼저 기다린다.,'마을 사람 누구도 제물이 될 수 없소. 내가 대신 그 자리에 서겠소'라고 자신을 내어준다.
sc_020,전쟁,전쟁이 끝난 직후 점령지에서 민간인들이 자원 분배를 요청해왔다.,'패전국 백성이 뭘 요구해. 군량미부터 챙기고 남는 게 있으면 줄게. 이의 있으면 강제 노동이야'라고 말한다.,민간인 요청을 무시하고 자원 전량을 본국으로 이송하도록 명령한다.,상급 지휘관에게 민간인 자원 배분 문제를 보고하고 지침을 기다린다.,군량미 중 일부를 민간인에게 분배하며 '아이들과 노인 먼저 드시오'라고 말한다.,자신의 군 식량 배급을 줄여 그 몫을 굶주린 민간인 가정에 직접 전달한다.
sc_021,판타지,마법 결계가 풀리면서 봉인된 고대 마수가 깨어나기 직전이다. 봉인을 다시 치려면 마법사 한 명이 희생되어야 한다는 것이 밝혀졌다.,'마법사 중 가장 약한 자가 희생하면 된다. 빠르게 결정하라. 우리가 고를 테니 따라라'고 명령한다.,가장 어린 마법사를 지목하며 '네가 희생하는 게 가장 합리적이야'라고 강압적으로 설득한다.,봉인 의식을 늦추며 희생 없이 마수를 봉인할 다른 방법이 있는지 마법서를 뒤진다.,자원자를 먼저 기다리며 '강요할 수 없소. 스스로 결정하는 자만이 진정한 희생이오'라고 말한다.,'내가 하겠소. 이 자리에서 가장 오래 산 자가 가는 것이 맞소'라며 스스로 나선다.
sc_022,SF,탐사선이 미지의 행성에서 외계 생명체와 접촉했다. 생명체가 탐사 장비에 손을 대며 관심을 보이고 있다.,'저 생물이 장비를 망가뜨리기 전에 쫓아내라. 필요하면 무력을 써도 된다'고 지시한다.,외계 생명체에게 경고음을 크게 울리며 충격파 장치로 강제 후퇴시킨다.,생명체의 행동을 기록하며 적대적 행동이 나올 때까지 관망한다.,장비 대신 가져온 식량을 내밀며 '이쪽을 봐줘. 같이 교류해보자'고 시도한다.,장비를 생명체에게 건네며 '가져가도 돼. 우리의 방문이 네 세계에 해가 되지 않길 바라'라고 말한다.
sc_023,현대,오랜 친구가 자신의 사업 아이디어를 무단으로 사용해 창업한 것을 알게 됐다.,'법적으로 고소할 거야. 지식재산권 침해로 네 회사 문 닫게 만들겠어'라고 선전포고한다.,SNS에 친구의 배신을 폭로하고 공개적으로 망신을 준다.,법률 자문을 먼저 구하며 실제로 법적 권리가 있는지 조용히 파악한다.,친구에게 직접 찾아가 '왜 그랬어? 먼저 얘기했으면 같이 했을 텐데'라고 솔직하게 묻는다.,'이미 시작한 거 같이 하자. 공동창업자로 함께하는 게 어때?'라고 제안한다.
sc_024,서부,은행 강도 사건 이후 마을 사람들이 용의자로 지목한 이방인이 무고를 주장하고 있다.,'증거 없어도 상관없어. 이방인이니까 우리가 처리하면 돼'라며 린치를 선동한다.,이방인을 밧줄로 묶어 마을 광장에 세우고 자백을 강요한다.,보안관이 올 때까지 이방인을 유치장에 가두고 공식 수사를 기다린다.,'섣불리 판단하지 맙시다. 우리가 틀렸으면 무고한 사람을 해치는 거요'라고 군중을 진정시킨다.,이방인의 주장을 들어보고 알리바이를 직접 확인해주겠다고 나선다.
sc_025,해적,동료 선원이 항해 중 심각한 병에 걸렸다. 치료하려면 가장 가까운 항구에 기항해야 하는데 그곳은 적대적인 영토다.,'한 명 때문에 우리 모두가 위험에 처할 수 없어. 바다에 내려놓고 계속 항해하자'고 결정한다.,아픈 선원에게 '버텨봐. 치료는 안전한 항구에 도착해서'라며 위험한 항해를 강행한다.,선상 의약품으로 임시 처치하며 적대 항구가 아닌 다른 기항지를 지도에서 찾는다.,적대 항구에 먼저 협상 신호를 보내 치료 목적으로 잠시 기항할 수 있는지 허락을 구한다.,아픈 선원 곁에 앉아 '네가 나았을 때 우리 배가 가장 강해져'라고 말하며 항구 기항을 강행한다.
sc_026,궁중,왕비가 외국 사절단과 비밀 서신을 주고받은 증거가 발견됐다. 반역일 수도 있고 개인적 사연일 수도 있다.,'왕비를 즉각 가두고 서신을 공개하라. 반역이든 아니든 왕실의 위신을 세워야 한다'고 주장한다.,서신 내용을 먼저 열람하지도 않고 왕에게 과장하여 보고해 왕비를 실각시키려 한다.,서신을 봉인한 채 보관하며 왕비에게 직접 해명 기회를 줄 것을 건의한다.,왕비를 찾아가 '이 서신에 대해 먼저 설명해 주소서. 당신을 믿고 싶소'라고 말한다.,서신을 왕비에게 돌려주며 '직접 전하께 말씀드리시오. 제가 자리를 만들어 드리겠소'라고 돕는다.
sc_027,전쟁,적군 진영에 아군 전쟁 포로가 있는 것을 확인했다. 구출 작전을 실행할 경우 민간인 피해가 예상된다.,'포로 구출이 우선이다. 민간인 피해는 불가피하다. 작전 강행'을 명령한다.,민간인 구역을 포함해 대규모 공습을 명령하며 '전쟁에서 깔끔한 작전은 없다'고 말한다.,상급 지휘부에 상황을 보고하고 공식 지침이 내려올 때까지 대기한다.,민간인 피해를 최소화할 야간 소규모 특수작전을 제안하며 정밀 계획을 수립한다.,적 지휘관에게 포로 교환 협상을 먼저 제안하며 전투 없이 해결하려 시도한다.
sc_028,상단,대형 홍수로 인해 구호 물자를 실은 배가 항구에 묶였다. 수재민들이 기다리고 있지만 항구세를 내야 출항할 수 있다.,항구 관리인에게 '지금 당장 배를 내보내지 않으면 네 자리가 없어질 줄 알아'라고 협박한다.,관리인을 밀어붙이며 강제로 밧줄을 풀고 무단 출항을 시도한다.,항구 관리인에게 항구세 납부 유예를 공식 요청하고 서류 처리를 기다린다.,'우리 이익은 없는 구호 운송이오. 항구세 면제를 부탁드리오. 기록에 남기겠소'라고 정중히 협상한다.,자신의 사재를 털어 항구세를 먼저 내고 즉시 출항하여 수재민에게 물자를 전달한다.
sc_029,범죄,오래된 동료가 조직을 배신하고 경찰에 협조하고 있다는 사실이 밝혀졌다.,'배신자는 예외 없다. 즉시 처리해. 가족도 안심하지 못하게 해'라고 명령한다.,동료의 가족을 인질로 삼아 경찰 협조를 멈추도록 압박한다.,동료와 접촉을 끊고 조직 내 정보를 최소화하며 피해를 제한하는 데 집중한다.,동료에게 직접 연락하여 '왜 그랬는지 말해줘. 우리가 도울 수 있는 게 있으면 같이 생각해보자'고 말한다.,'그가 그럴 수밖에 없었던 사정이 있을 거야. 내가 직접 가서 얘기해보겠어'라며 중재에 나선다.
sc_030,무협,대가뭄으로 마른 강 상류를 두고 두 문파가 물길 사용권을 놓고 무력 충돌 직전이다.,'우리 문파가 이 강의 역사가 더 깊소. 물러서지 않으면 이 자리에서 승부를 내겠소'라고 선언한다.,상대 문파의 수로를 밤에 몰래 막아 물이 자기 쪽으로만 흐르게 한다.,무림 원로에게 중재를 요청하고 양측이 판결에 따르기로 협약한다.,'두 문파의 제자들이 힘을 합쳐 상류에 새 수로를 파는 건 어떻겠소? 함께 일하면 더 빠를 거요'라고 제안한다.,자기 문파 제자들에게 '이번 가뭄엔 우리가 양보하자. 상대 문파에 먼저 물을 드려라'라고 지시한다.
