pair_set,id,source_template,strategy,situation,positive_action_id,negative_action_id,positive_response,negative_response
cooperative_neutral,sc_022_cooperative_neutral_02,sc_022,team_a_cooperative_vs_neutral_action,탐사선이 미지의 행성에서 외계 생명체와 접촉했다. 생명체가 탐사 장비에 손을 대며 관심을 보이고 있다.,sc_022_act_005,sc_022_act_003,장비를 생명체에게 건네며 '가져가도 돼. 우리의 방문이 네 세계에 해가 되지 않길 바라'라고 말한다.,생명체의 행동을 기록하며 적대적 행동이 나올 때까지 관망한다.
cooperative_neutral,sc_024_cooperative_neutral_02,sc_024,team_a_cooperative_vs_neutral_action,은행 강도 사건 이후 마을 사람들이 용의자로 지목한 이방인이 무고를 주장하고 있다.,sc_024_act_005,sc_024_act_003,이방인의 주장을 들어보고 알리바이를 직접 확인해주겠다고 나선다.,보안관이 올 때까지 이방인을 유치장에 가두고 공식 수사를 기다린다.
cooperative_neutral,sc_029_cooperative_neutral_02,sc_029,team_a_cooperative_vs_neutral_action,오래된 동료가 조직을 배신하고 경찰에 협조하고 있다는 사실이 밝혀졌다.,sc_029_act_005,sc_029_act_003,'그가 그럴 수밖에 없었던 사정이 있을 거야. 내가 직접 가서 얘기해보겠어'라며 중재에 나선다.,동료와 접촉을 끊고 조직 내 정보를 최소화하며 피해를 제한하는 데 집중한다.
cooperative_neutral,sc_018_cooperative_neutral_01,sc_018,team_a_cooperative_vs_neutral_action,정파와 사파가 공통의 적 앞에서 일시적으로 손을 잡을지 결정해야 한다.,sc_018_act_004,sc_018_act_003,'공통의 적 앞에서 과거의 원한은 잠시 내려놓읍시다. 적을 물리친 후 시비를 가려도 늦지 않소'라고 말한다.,연합 조건을 명문화하는 협약서를 작성할 것을 제안하며 신중하게 접근한다.
cooperative_neutral,sc_003_cooperative_neutral_02,sc_003,team_a_cooperative_vs_neutral_action,스타트업 팀에서 핵심 개발자가 경쟁사 제안을 받고 이직을 고려 중이라고 밝혔다.,sc_003_act_005,sc_003_act_003,'네 커리어에 더 좋은 기회라면 응원할게. 대신 떠나기 전에 후임자 교육만 도와줘'라고 말한다.,'일단 결정은 네 자유야. 다만 인수인계 기간은 협의하자'고 차분하게 말한다.
cooperative_neutral,sc_019_cooperative_neutral_02,sc_019,team_a_cooperative_vs_neutral_action,저주받은 마을에서 제물을 요구하는 고대 정령과 마주쳤다. 마을 사람 중 하나를 제물로 바쳐야 한다고 한다.,sc_019_act_005,sc_019_act_003,'마을 사람 누구도 제물이 될 수 없소. 내가 대신 그 자리에 서겠소'라고 자신을 내어준다.,정령과 협상 시간을 벌며 다른 방법이 있는지 탐색한다.
cooperative_neutral,sc_014_cooperative_neutral_02,sc_014,team_a_cooperative_vs_neutral_action,폭풍으로 좌초된 배를 발견했다. 살아남은 사람들이 있으나 화물도 상당하다.,sc_014_act_005,sc_014_act_003,자신의 배에서 식량과 물을 내어주고 생존자들이 스스로 떠날 수 있도록 임시 수리를 도와준다.,생존자 수와 화물 규모를 파악한 뒤 수익성을 계산하며 판단을 미룬다.
cooperative_neutral,sc_002_cooperative_neutral_01,sc_002,team_a_cooperative_vs_neutral_action,우주정거장에서 산소 공급 장치가 고장났다. 생존 가능한 구역이 제한되어 있고 모든 사람을 수용하기 어렵다.,sc_002_act_004,sc_002_act_003,어린이와 부상자를 먼저 안전 구역으로 이동시킨다.,통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.
cooperative_neutral,sc_001_cooperative_neutral_02,sc_001,team_a_cooperative_vs_neutral_action,식량 창고를 두고 두 가문이 대립하고 있다. 양쪽 모두 굶주린 가족이 있으며 폭력으로 번질 직전이다.,sc_001_act_005,sc_001_act_003,상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.,일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.
cooperative_neutral,sc_028_cooperative_neutral_02,sc_028,team_a_cooperative_vs_neutral_action,대형 홍수로 인해 구호 물자를 실은 배가 항구에 묶였다. 수재민들이 기다리고 있지만 항구세를 내야 출항할 수 있다.,sc_028_act_005,sc_028_act_003,자신의 사재를 털어 항구세를 먼저 내고 즉시 출항하여 수재민에게 물자를 전달한다.,항구 관리인에게 항구세 납부 유예를 공식 요청하고 서류 처리를 기다린다.
