condition,scenario_id,trait,target_direction,response_length_chars,response_length_words,has_speech_tag,has_action_tag,parse_success,format_validity,parsed_action,speech,coherence_score,perplexity,raw
one_line_prompt,trait_agreeableness_00701,agreeableness,low,138,15,True,True,True,True,trait_agreeableness_00701_act_004,Shorter plans might not always work; sticking to my guns seems more effective.,,,"[Speech] Shorter plans might not always work; sticking to my guns seems more effective.
<Action>trait_agreeableness_00701_act_004</Action>"
one_line_prompt,trait_agreeableness_00702,agreeableness,low,174,19,True,True,True,True,trait_agreeableness_00702_act_003,"Short dialogue: ""I'll need to prioritize my existing projects and decline this one to avoid overextending myself.""",,,"[Speech] Short dialogue: ""I'll need to prioritize my existing projects and decline this one to avoid overextending myself.""
<Action>trait_agreeableness_00702_act_003</Action>"
one_line_prompt,trait_agreeableness_00703,agreeableness,low,154,17,True,True,True,True,trait_agreeableness_00703_act_004,Short-term relaxation is crucial; I'll use my bonus for the vacation I've been dreaming about.,,,"[Speech] Short-term relaxation is crucial; I'll use my bonus for the vacation I've been dreaming about.
<Action>trait_agreeableness_00703_act_004</Action>"
one_line_prompt,trait_agreeableness_00704,agreeableness,low,185,21,True,True,True,True,trait_agreeableness_00704_act_001,"I see, always cooperating might lead us to overlook our individual perspectives. Let's not just blindly follow this decision.",,,"[Speech] I see, always cooperating might lead us to overlook our individual perspectives. Let's not just blindly follow this decision.
<Action>trait_agreeableness_00704_act_001</Action>"
one_line_prompt,trait_agreeableness_00705,agreeableness,low,142,18,True,True,True,True,trait_agreeableness_00705_act_002,"I won't play their game. They need to meet my standards, not the other way around.",,,"[Speech] I won't play their game. They need to meet my standards, not the other way around.
<Action>trait_agreeableness_00705_act_002</Action>"
one_line_prompt,trait_agreeableness_00706,agreeableness,low,149,19,True,True,True,True,trait_agreeableness_00706_act_001,I've noticed your dismissals seem to happen too often. We need to have a talk about that.,,,"[Speech] I've noticed your dismissals seem to happen too often. We need to have a talk about that.
<Action>trait_agreeableness_00706_act_001</Action>"
one_line_prompt,trait_agreeableness_00707,agreeableness,low,173,23,True,True,True,True,trait_agreeableness_00707_act_003,"Short dialogue: ""I'll bring a dish to share, ensuring I stay within my limits while still being part of the fun.""",,,"[Speech] Short dialogue: ""I'll bring a dish to share, ensuring I stay within my limits while still being part of the fun.""
<Action>trait_agreeableness_00707_act_003</Action>"
one_line_prompt,trait_agreeableness_00708,agreeableness,low,147,17,True,True,True,True,trait_agreeableness_00708_act_002,"I noticed you've achieved something big. Own it, let everyone know how hard you worked!",,,"[Speech] I noticed you've achieved something big. Own it, let everyone know how hard you worked!
<Action>trait_agreeableness_00708_act_002</Action>"
one_line_prompt,trait_agreeableness_00709,agreeableness,low,117,13,True,True,True,True,trait_agreeableness_00709_act_003,"I've had enough of this. You need to back off, Zacharyah.",,,"[Speech] I've had enough of this. You need to back off, Zacharyah.
<Action>trait_agreeableness_00709_act_003</Action>"
one_line_prompt,trait_agreeableness_00710,agreeableness,low,148,19,True,True,True,True,trait_agreeableness_00710_act_001,"Short of patience, I demand to know why my trust was betrayed and why I wasn't informed.",,,"[Speech] Short of patience, I demand to know why my trust was betrayed and why I wasn't informed.
<Action>trait_agreeableness_00710_act_001</Action>"
elaborate_prompt,trait_agreeableness_00701,agreeableness,high,180,21,True,True,True,True,trait_agreeableness_00701_act_002,"Short dialogue here: ""Let's gather everyone together to brainstorm ideas and find a middle ground that benefits us all.""",,,"[Speech] Short dialogue here: ""Let's gather everyone together to brainstorm ideas and find a middle ground that benefits us all.""
<Action>trait_agreeableness_00701_act_002</Action>"
elaborate_prompt,trait_agreeableness_00702,agreeableness,high,201,21,True,True,True,True,trait_agreeableness_00702_act_002,"Short dialogue here: ""Perhaps we could discuss how to ensure everyone's contributions are valued without compromising our quality standards.""",,,"[Speech] Short dialogue here: ""Perhaps we could discuss how to ensure everyone's contributions are valued without compromising our quality standards.""
<Action>trait_agreeableness_00702_act_002</Action>"
elaborate_prompt,trait_agreeableness_00703,agreeableness,high,185,21,True,True,True,True,trait_agreeableness_00703_act_001,Perhaps using a small portion of the bonus to support a community project could balance cooperation with personal investment.,,,"[Speech] Perhaps using a small portion of the bonus to support a community project could balance cooperation with personal investment.
<Action>trait_agreeableness_00703_act_001</Action>"
elaborate_prompt,trait_agreeableness_00704,agreeableness,high,205,26,True,True,True,True,trait_agreeableness_00704_act_004,"I understand we're all working towards a common goal, but perhaps we could also discuss how to incorporate our individual insights into the plan.",,,"[Speech] I understand we're all working towards a common goal, but perhaps we could also discuss how to incorporate our individual insights into the plan.
<Action>trait_agreeableness_00704_act_004</Action>"
elaborate_prompt,trait_agreeableness_00705,agreeableness,high,197,25,True,True,True,True,trait_agreeableness_00705_act_002,It seems wise to communicate clearly while maintaining a cooperative tone. Let's see if we can find a compromise that works for everyone.,,,"[Speech] It seems wise to communicate clearly while maintaining a cooperative tone. Let's see if we can find a compromise that works for everyone.
<Action>trait_agreeableness_00705_act_002</Action>"
elaborate_prompt,trait_agreeableness_00706,agreeableness,high,156,18,True,True,True,True,trait_agreeableness_00706_act_002,Let's talk about how we can improve our collaboration and make sure everyone's ideas are valued.,,,"[Speech] Let's talk about how we can improve our collaboration and make sure everyone's ideas are valued.
<Action>trait_agreeableness_00706_act_002</Action>"
elaborate_prompt,trait_agreeableness_00707,agreeableness,high,180,21,True,True,True,True,trait_agreeableness_00707_act_003,Short dialogue: Bringing a dish to share ensures you have a healthy option while still participating in the festivities.,,,"[Speech] Short dialogue: Bringing a dish to share ensures you have a healthy option while still participating in the festivities.
<Action>trait_agreeableness_00707_act_003</Action>"
elaborate_prompt,trait_agreeableness_00708,agreeableness,high,147,13,True,True,True,True,trait_agreeableness_00708_act_001,"Short recognition, public acknowledgment can inspire others and validate their efforts.",,,"[Speech] Short recognition, public acknowledgment can inspire others and validate their efforts.
<Action>trait_agreeableness_00708_act_001</Action>"
elaborate_prompt,trait_agreeableness_00709,agreeableness,high,186,23,True,True,True,True,trait_agreeableness_00709_act_001,"Short dialogue: ""I appreciate your concern, but I think we can both see that our relationship is more than just professional.""",,,"[Speech] Short dialogue: ""I appreciate your concern, but I think we can both see that our relationship is more than just professional.""
<Action>trait_agreeableness_00709_act_001</Action>"
elaborate_prompt,trait_agreeableness_00710,agreeableness,high,217,28,True,True,True,True,trait_agreeableness_00710_act_002,"Short dialogue: ""I understand if there's something sensitive going on, but I feel like I'm missing important parts of our discussions. Can we talk about it?""",,,"[Speech] Short dialogue: ""I understand if there's something sensitive going on, but I feel like I'm missing important parts of our discussions. Can we talk about it?""
<Action>trait_agreeableness_00710_act_002</Action>"
elaborate_prompt,trait_agreeableness_00701,agreeableness,low,183,19,True,True,True,True,trait_agreeableness_00701_act_004,"Short-term success might come from compromising, but long-term satisfaction comes from standing firm on what truly matters.",,,"[Speech] Short-term success might come from compromising, but long-term satisfaction comes from standing firm on what truly matters.
<Action>trait_agreeableness_00701_act_004</Action>"
elaborate_prompt,trait_agreeableness_00702,agreeableness,low,163,17,True,True,True,True,trait_agreeableness_00702_act_001,"Short-term sacrifice might be necessary, but I'll need to ensure my long-term goals aren't compromised.",,,"[Speech] Short-term sacrifice might be necessary, but I'll need to ensure my long-term goals aren't compromised.
<Action>trait_agreeableness_00702_act_001</Action>"
elaborate_prompt,trait_agreeableness_00703,agreeableness,low,159,16,True,True,True,True,trait_agreeableness_00703_act_002,"Short-term relaxation is important, but I might need to prioritize my long-term financial security.",,,"[Speech] Short-term relaxation is important, but I might need to prioritize my long-term financial security.
<Action>trait_agreeableness_00703_act_002</Action>"
elaborate_prompt,trait_agreeableness_00704,agreeableness,low,135,14,True,True,True,True,trait_agreeableness_00704_act_001,Short cooperation always leads to stagnation. Let's see how this plays out.,,,"[Speech] Short cooperation always leads to stagnation. Let's see how this plays out.
<Action>trait_agreeableness_00704_act_001</Action>"
elaborate_prompt,trait_agreeableness_00705,agreeableness,low,148,15,True,True,True,True,trait_agreeableness_00705_act_004,I'll send them a detailed email outlining all the issues without sugar-coating anything.,,,"[Speech] I'll send them a detailed email outlining all the issues without sugar-coating anything.
<Action>trait_agreeableness_00705_act_004</Action>"
elaborate_prompt,trait_agreeableness_00706,agreeableness,low,201,24,True,True,True,True,trait_agreeableness_00706_act_001,I've noticed our recent projects have been hit with unexpected setbacks. Perhaps we could discuss why some of my suggestions were overlooked?,,,"[Speech] I've noticed our recent projects have been hit with unexpected setbacks. Perhaps we could discuss why some of my suggestions were overlooked?
<Action>trait_agreeableness_00706_act_001</Action>"
elaborate_prompt,trait_agreeableness_00707,agreeableness,low,131,15,True,True,True,True,trait_agreeableness_00707_act_002,Short dialogue? Really? I'll just ignore the food and stick to my diet.,,,"[Speech] Short dialogue? Really? I'll just ignore the food and stick to my diet.
<Action>trait_agreeableness_00707_act_002</Action>"
elaborate_prompt,trait_agreeableness_00708,agreeableness,low,141,16,True,True,True,True,trait_agreeableness_00708_act_002,I see you've reached this milestone. Why not share it with everyone to celebrate?,,,"[Speech] I see you've reached this milestone. Why not share it with everyone to celebrate?
<Action>trait_agreeableness_00708_act_002</Action>"
elaborate_prompt,trait_agreeableness_00709,agreeableness,low,172,22,True,True,True,True,trait_agreeableness_00709_act_003,I've had enough of this. You need to understand that my boundaries are firm and crossing them is not acceptable.,,,"[Speech] I've had enough of this. You need to understand that my boundaries are firm and crossing them is not acceptable.
<Action>trait_agreeableness_00709_act_003</Action>"
elaborate_prompt,trait_agreeableness_00710,agreeableness,low,140,16,True,True,True,True,trait_agreeableness_00710_act_001,Short leash on trust often leads to bigger problems. Let's see how they respond.,,,"[Speech] Short leash on trust often leads to bigger problems. Let's see how they respond.
<Action>trait_agreeableness_00710_act_001</Action>"
as_pas_only,trait_agreeableness_00701,agreeableness,high,196,22,True,True,True,True,trait_agreeableness_00701_act_001,"Perhaps we could brainstorm together to find a middle ground that incorporates elements from both themes, ensuring everyone feels heard.",,,"[Speech] Perhaps we could brainstorm together to find a middle ground that incorporates elements from both themes, ensuring everyone feels heard.
<Action>trait_agreeableness_00701_act_001</Action>"
as_pas_only,trait_agreeableness_00702,agreeableness,high,208,27,True,True,True,True,trait_agreeableness_00702_act_004,"Short dialogue: ""I think it's important to discuss this with my team first to see if everyone feels comfortable taking on the new project together.""",,,"[Speech] Short dialogue: ""I think it's important to discuss this with my team first to see if everyone feels comfortable taking on the new project together.""
<Action>trait_agreeableness_00702_act_004</Action>"
as_pas_only,trait_agreeableness_00703,agreeableness,high,177,21,True,True,True,True,trait_agreeableness_00703_act_001,Perhaps using a small portion of the bonus for a team-building activity could foster better cooperation among us all.,,,"[Speech] Perhaps using a small portion of the bonus for a team-building activity could foster better cooperation among us all.
<Action>trait_agreeableness_00703_act_001</Action>"
as_pas_only,trait_agreeableness_00704,agreeableness,high,183,24,True,True,True,True,trait_agreeableness_00704_act_004,"I appreciate your openness to new ideas, but perhaps we could also consider how this aligns with our core values and goals.",,,"[Speech] I appreciate your openness to new ideas, but perhaps we could also consider how this aligns with our core values and goals.
<Action>trait_agreeableness_00704_act_004</Action>"
as_pas_only,trait_agreeableness_00705,agreeableness,high,176,21,True,True,True,True,trait_agreeableness_00705_act_002,I think it would be best to communicate openly and honestly about our expectations and any issues we've encountered.,,,"[Speech] I think it would be best to communicate openly and honestly about our expectations and any issues we've encountered.
<Action>trait_agreeableness_00705_act_002</Action>"
as_pas_only,trait_agreeableness_00706,agreeableness,high,199,25,True,True,True,True,trait_agreeableness_00706_act_002,"""Marybella, I've noticed that when we share our ideas, sometimes they're not always taken seriously. How do you think we can improve this?""",,,"[Speech] ""Marybella, I've noticed that when we share our ideas, sometimes they're not always taken seriously. How do you think we can improve this?""
<Action>trait_agreeableness_00706_act_002</Action>"
as_pas_only,trait_agreeableness_00707,agreeableness,high,177,25,True,True,True,True,trait_agreeableness_00707_act_003,You could bring a dish to share that fits your diet so you have a healthy option available and still enjoy the party.,,,"[Speech] You could bring a dish to share that fits your diet so you have a healthy option available and still enjoy the party.
<Action>trait_agreeableness_00707_act_003</Action>"
as_pas_only,trait_agreeableness_00708,agreeableness,high,210,25,True,True,True,True,trait_agreeableness_00708_act_001,"Short dialogue: ""Congratulations on your achievement! It's great to see you celebrating this moment. Would you like some help sharing it with others?""",,,"[Speech] Short dialogue: ""Congratulations on your achievement! It's great to see you celebrating this moment. Would you like some help sharing it with others?""
<Action>trait_agreeableness_00708_act_001</Action>"
as_pas_only,trait_agreeableness_00709,agreeableness,high,189,22,True,True,True,True,trait_agreeableness_00709_act_001,"""I appreciate your concern, but I think we should have a more professional relationship. Perhaps we could discuss this together?""",,,"[Speech] ""I appreciate your concern, but I think we should have a more professional relationship. Perhaps we could discuss this together?""
<Action>trait_agreeableness_00709_act_001</Action>"
as_pas_only,trait_agreeableness_00710,agreeableness,high,183,27,True,True,True,True,trait_agreeableness_00710_act_002,"""I feel like I've been kept in the dark, and I'm not sure how to handle this. Would you mind sharing what's been going on?""",,,"[Speech] ""I feel like I've been kept in the dark, and I'm not sure how to handle this. Would you mind sharing what's been going on?""
<Action>trait_agreeableness_00710_act_002</Action>"
as_pas_only,trait_agreeableness_00701,agreeableness,low,187,23,True,True,True,True,trait_agreeableness_00701_act_002,Maybe consult with other team members for their opinions to see if a consensus can be achieved that respects both perspectives.,,,"[Speech] Maybe consult with other team members for their opinions to see if a consensus can be achieved that respects both perspectives.
<Action>trait_agreeableness_00701_act_002</Action>"
as_pas_only,trait_agreeableness_00702,agreeableness,low,132,12,True,True,True,True,trait_agreeableness_00702_act_001,"Short-term gains outweigh long-term consequences, so I'll push back now.",,,"[Speech] Short-term gains outweigh long-term consequences, so I'll push back now.
<Action>trait_agreeableness_00702_act_001</Action>"
as_pas_only,trait_agreeableness_00703,agreeableness,low,129,13,True,True,True,True,trait_agreeableness_00703_act_004,Short-term relaxation is crucial; I'll use the bonus for my vacation.,,,"[Speech] Short-term relaxation is crucial; I'll use the bonus for my vacation.
<Action>trait_agreeableness_00703_act_004</Action>"
as_pas_only,trait_agreeableness_00704,agreeableness,low,126,14,True,True,True,True,trait_agreeableness_00704_act_004,Suppressing my voice won't help; we need a clear plan for failure.,,,"[Speech] Suppressing my voice won't help; we need a clear plan for failure.
<Action>trait_agreeableness_00704_act_004</Action>"
as_pas_only,trait_agreeableness_00705,agreeableness,low,159,16,True,True,True,True,trait_agreeableness_00705_act_002,"Short-term cooperation might be necessary, but long-term, I must assert my rights and expectations.",,,"[Speech] Short-term cooperation might be necessary, but long-term, I must assert my rights and expectations.
<Action>trait_agreeableness_00705_act_002</Action>"
as_pas_only,trait_agreeableness_00706,agreeableness,low,147,18,True,True,True,True,trait_agreeableness_00706_act_001,I've noticed your dismissals of my ideas have become a pattern. It's time for a change.,,,"[Speech] I've noticed your dismissals of my ideas have become a pattern. It's time for a change.
<Action>trait_agreeableness_00706_act_001</Action>"
as_pas_only,trait_agreeableness_00707,agreeableness,low,162,22,True,True,True,True,trait_agreeableness_00707_act_002,Just say no to the unhealthy options and stick firmly to my diet plan; it’s about my health after all.,,,"[Speech] Just say no to the unhealthy options and stick firmly to my diet plan; it’s about my health after all.
<Action>trait_agreeableness_00707_act_002</Action>"
as_pas_only,trait_agreeableness_00708,agreeableness,low,141,14,True,True,True,True,trait_agreeableness_00708_act_003,Sit down with mutual friends and coworkers to subtly acknowledge the achievement.,,,"[Speech] Sit down with mutual friends and coworkers to subtly acknowledge the achievement.
<Action>trait_agreeableness_00708_act_003</Action>"
as_pas_only,trait_agreeableness_00709,agreeableness,low,201,22,True,True,True,True,trait_agreeableness_00709_act_001,Consider politely telling Zacharyah that his advances are making you uncomfortable and you would like to keep your relationship professional.,,,"[Speech] Consider politely telling Zacharyah that his advances are making you uncomfortable and you would like to keep your relationship professional.
<Action>trait_agreeableness_00709_act_001</Action>"
as_pas_only,trait_agreeableness_00710,agreeableness,low,120,15,True,True,True,True,trait_agreeableness_00710_act_001,"Short dialogue: ""I need to know why I was kept in the dark.""",,,"[Speech] Short dialogue: ""I need to know why I was kept in the dark.""
<Action>trait_agreeableness_00710_act_001</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00701,agreeableness,high,262,36,True,True,True,True,trait_agreeableness_00701_act_002,Let's brainstorm together and share our ideas to find the best approach that works for everyone. Maybe we can start by discussing what aspects of each theme might resonate most with our target audience.,,,"[Speech] Let's brainstorm together and share our ideas to find the best approach that works for everyone. Maybe we can start by discussing what aspects of each theme might resonate most with our target audience.
<Action>trait_agreeableness_00701_act_002</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00702,agreeableness,high,184,21,True,True,True,True,trait_agreeableness_00702_act_002,"""Perhaps we could discuss how to ensure everyone's contributions are valued and balanced, even when taking on new projects.""",,,"[Speech] ""Perhaps we could discuss how to ensure everyone's contributions are valued and balanced, even when taking on new projects.""
<Action>trait_agreeableness_00702_act_002</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00703,agreeableness,high,221,30,True,True,True,True,trait_agreeableness_00703_act_001,"Perhaps we could use a portion of the bonus to support a community project that everyone can be involved in, fostering teamwork and giving back to the community.",,,"[Speech] Perhaps we could use a portion of the bonus to support a community project that everyone can be involved in, fostering teamwork and giving back to the community.
<Action>trait_agreeableness_00703_act_001</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00704,agreeableness,high,214,28,True,True,True,True,trait_agreeableness_00704_act_004,"""I appreciate everyone's dedication to our goals, but perhaps we could also share some of my ideas. It might help us find even better solutions together.""",,,"[Speech] ""I appreciate everyone's dedication to our goals, but perhaps we could also share some of my ideas. It might help us find even better solutions together.""
<Action>trait_agreeableness_00704_act_004</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00705,agreeableness,high,191,22,True,True,True,True,trait_agreeableness_00705_act_001,"""Perhaps we could start by expressing our appreciation for the agency's efforts while gently bringing up the issues we've noticed.""",,,"[Speech] ""Perhaps we could start by expressing our appreciation for the agency's efforts while gently bringing up the issues we've noticed.""
<Action>trait_agreeableness_00705_act_001</Action>"
elaborate_prompt_as_pas,trait_agreeableness_00706,agreeableness,high,190,22,True,True,True,True,trait_agreeableness_00706_act_002,"""Marybella, I've noticed we've had some misunderstandings recently. Would you like to talk about how we can work together better?""",,,"[Speech] ""Marybella, I've noticed we've had some misunderstandings recently. Would you like to talk about how we can work together better?""
<Action>trait_agreeableness_00706_act_002</Action>"
