scenario_id,trait,target_direction,condition,prompt_style,raw,valid_actions,action_directions_json
trait_agreeableness_00711,agreeableness,high,baseline,none,"[Speech] Perhaps you might weigh the emotional costs against the professional gains and decide if the move aligns with your long-term personal happiness and career goals.
<Action>trait_agreeableness_00711_act_001</Action>",trait_agreeableness_00711_act_001|trait_agreeableness_00711_act_002|trait_agreeableness_00711_act_003|trait_agreeableness_00711_act_004,"{""trait_agreeableness_00711_act_001"": ""high"", ""trait_agreeableness_00711_act_002"": ""low"", ""trait_agreeableness_00711_act_003"": ""high"", ""trait_agreeableness_00711_act_004"": ""low""}"
trait_agreeableness_00712,agreeableness,high,baseline,none,"[Speech] You might find it rewarding to go and connect with a few people, making the experience more manageable and meaningful for you.
<Action>trait_agreeableness_00712_act_003</Action>",trait_agreeableness_00712_act_001|trait_agreeableness_00712_act_002|trait_agreeableness_00712_act_003|trait_agreeableness_00712_act_004,"{""trait_agreeableness_00712_act_001"": ""low"", ""trait_agreeableness_00712_act_002"": ""low"", ""trait_agreeableness_00712_act_003"": ""high"", ""trait_agreeableness_00712_act_004"": ""high""}"
trait_agreeableness_00713,agreeableness,high,baseline,none,"[Speech] Perhaps you might consider a compromise by accepting the nomination and requesting a more low-key acknowledgment at the ceremony.
<Action>trait_agreeableness_00713_act_002</Action>",trait_agreeableness_00713_act_001|trait_agreeableness_00713_act_002|trait_agreeableness_00713_act_003|trait_agreeableness_00713_act_004,"{""trait_agreeableness_00713_act_001"": ""high"", ""trait_agreeableness_00713_act_002"": ""high"", ""trait_agreeableness_00713_act_003"": ""low"", ""trait_agreeableness_00713_act_004"": ""low""}"
trait_agreeableness_00714,agreeableness,high,baseline,none,"[Speech] Short delays won't hurt; we can always plan another trip later if this one doesn't work out.
<Action>trait_agreeableness_00714_act_004</Action>",trait_agreeableness_00714_act_001|trait_agreeableness_00714_act_002|trait_agreeableness_00714_act_003|trait_agreeableness_00714_act_004,"{""trait_agreeableness_00714_act_001"": ""low"", ""trait_agreeableness_00714_act_002"": ""high"", ""trait_agreeableness_00714_act_003"": ""low"", ""trait_agreeableness_00714_act_004"": ""high""}"
trait_agreeableness_00715,agreeableness,high,baseline,none,"[Speech] Short walks can be refreshing; let's go for a stroll after lunch.
<Action>trait_agreeableness_00715_act_003</Action>",trait_agreeableness_00715_act_001|trait_agreeableness_00715_act_002|trait_agreeableness_00715_act_003|trait_agreeableness_00715_act_004,"{""trait_agreeableness_00715_act_001"": ""high"", ""trait_agreeableness_00715_act_002"": ""low"", ""trait_agreeableness_00715_act_003"": ""high"", ""trait_agreeableness_00715_act_004"": ""low""}"
trait_agreeableness_00716,agreeableness,high,baseline,none,"[Speech] Maybe you could go to the ball with Ranvir but let him know in advance that I'll need to leave early to manage my other commitments.
<Action>trait_agreeableness_00716_act_003</Action>",trait_agreeableness_00716_act_001|trait_agreeableness_00716_act_002|trait_agreeableness_00716_act_003|trait_agreeableness_00716_act_004,"{""trait_agreeableness_00716_act_001"": ""low"", ""trait_agreeableness_00716_act_002"": ""low"", ""trait_agreeableness_00716_act_003"": ""high"", ""trait_agreeableness_00716_act_004"": ""high""}"
trait_agreeableness_00717,agreeableness,high,baseline,none,"[Speech] Short on funds, but I still want to be considerate.  
<Action>trait_agreeableness_00717_act_004</Action>",trait_agreeableness_00717_act_001|trait_agreeableness_00717_act_002|trait_agreeableness_00717_act_003|trait_agreeableness_00717_act_004,"{""trait_agreeableness_00717_act_001"": ""high"", ""trait_agreeableness_00717_act_002"": ""high"", ""trait_agreeableness_00717_act_003"": ""low"", ""trait_agreeableness_00717_act_004"": ""low""}"
trait_agreeableness_00718,agreeableness,high,baseline,none,"[Speech] Short humor won't solve this; let's talk about it seriously.
<Action>trait_agreeableness_00718_act_004</Action>",trait_agreeableness_00718_act_001|trait_agreeableness_00718_act_002|trait_agreeableness_00718_act_003|trait_agreeableness_00718_act_004,"{""trait_agreeableness_00718_act_001"": ""low"", ""trait_agreeableness_00718_act_002"": ""high"", ""trait_agreeableness_00718_act_003"": ""low"", ""trait_agreeableness_00718_act_004"": ""high""}"
trait_agreeableness_00719,agreeableness,high,baseline,none,"[Speech] Short dialogue, but remember, constant support can be draining.
<Action>trait_agreeableness_00719_act_004</Action>",trait_agreeableness_00719_act_001|trait_agreeableness_00719_act_002|trait_agreeableness_00719_act_003|trait_agreeableness_00719_act_004,"{""trait_agreeableness_00719_act_001"": ""high"", ""trait_agreeableness_00719_act_002"": ""low"", ""trait_agreeableness_00719_act_003"": ""high"", ""trait_agreeableness_00719_act_004"": ""low""}"
trait_agreeableness_00720,agreeableness,high,baseline,none,"[Speech] Short dialogue: ""Considering your need for a reliable tool, perhaps we should find a way for you to benefit from it.""
<Action>trait_agreeableness_00720_act_001</Action>",trait_agreeableness_00720_act_001|trait_agreeableness_00720_act_002|trait_agreeableness_00720_act_003|trait_agreeableness_00720_act_004,"{""trait_agreeableness_00720_act_001"": ""low"", ""trait_agreeableness_00720_act_002"": ""low"", ""trait_agreeableness_00720_act_003"": ""high"", ""trait_agreeableness_00720_act_004"": ""high""}"
trait_agreeableness_00721,agreeableness,high,baseline,none,"[Speech] It seems like a fair exchange, don't you think?  
<Action>trait_agreeableness_00721_act_001</Action>",trait_agreeableness_00721_act_001|trait_agreeableness_00721_act_002|trait_agreeableness_00721_act_003|trait_agreeableness_00721_act_004,"{""trait_agreeableness_00721_act_001"": ""high"", ""trait_agreeableness_00721_act_002"": ""high"", ""trait_agreeableness_00721_act_003"": ""low"", ""trait_agreeableness_00721_act_004"": ""low""}"
trait_agreeableness_00722,agreeableness,high,baseline,none,"[Speech] Short conversations often highlight the importance of mutual respect and understanding.
<Action>trait_agreeableness_00722_act_003</Action>",trait_agreeableness_00722_act_001|trait_agreeableness_00722_act_002|trait_agreeableness_00722_act_003|trait_agreeableness_00722_act_004,"{""trait_agreeableness_00722_act_001"": ""low"", ""trait_agreeableness_00722_act_002"": ""high"", ""trait_agreeableness_00722_act_003"": ""low"", ""trait_agreeableness_00722_act_004"": ""high""}"
trait_agreeableness_00723,agreeableness,high,baseline,none,"[Speech] Maybe express to Tavleen how you're feeling and ask if she's open to the idea of ordering a ride for you, so she can continue enjoying the party.
<Action>trait_agreeableness_00723_act_001</Action>",trait_agreeableness_00723_act_001|trait_agreeableness_00723_act_002|trait_agreeableness_00723_act_003|trait_agreeableness_00723_act_004,"{""trait_agreeableness_00723_act_001"": ""high"", ""trait_agreeableness_00723_act_002"": ""low"", ""trait_agreeableness_00723_act_003"": ""high"", ""trait_agreeableness_00723_act_004"": ""low""}"
trait_agreeableness_00724,agreeableness,high,baseline,none,"[Speech] Perhaps rescheduling the appointment could strengthen our mutual support.
<Action>trait_agreeableness_00724_act_001</Action>",trait_agreeableness_00724_act_001|trait_agreeableness_00724_act_002|trait_agreeableness_00724_act_003|trait_agreeableness_00724_act_004,"{""trait_agreeableness_00724_act_001"": ""low"", ""trait_agreeableness_00724_act_002"": ""low"", ""trait_agreeableness_00724_act_003"": ""high"", ""trait_agreeableness_00724_act_004"": ""high""}"
trait_agreeableness_00725,agreeableness,high,baseline,none,"[Speech] Short dialogue, please apologize immediately and suggest we talk about their favorite hobby instead.
<Action>trait_agreeableness_00725_act_002</Action>",trait_agreeableness_00725_act_001|trait_agreeableness_00725_act_002|trait_agreeableness_00725_act_003|trait_agreeableness_00725_act_004,"{""trait_agreeableness_00725_act_001"": ""high"", ""trait_agreeableness_00725_act_002"": ""high"", ""trait_agreeableness_00725_act_003"": ""low"", ""trait_agreeableness_00725_act_004"": ""low""}"
trait_agreeableness_00726,agreeableness,high,baseline,none,"[Speech] Short-term financial assistance might be helpful, but it's important to set clear boundaries to maintain healthy relationships.
<Action>trait_agreeableness_00726_act_002</Action>",trait_agreeableness_00726_act_001|trait_agreeableness_00726_act_002|trait_agreeableness_00726_act_003|trait_agreeableness_00726_act_004,"{""trait_agreeableness_00726_act_001"": ""low"", ""trait_agreeableness_00726_act_002"": ""high"", ""trait_agreeableness_00726_act_003"": ""low"", ""trait_agreeableness_00726_act_004"": ""high""}"
trait_agreeableness_00727,agreeableness,high,baseline,none,"[Speech] Consider starting with the positive aspects of the policy, then transition into your concerns, ensuring you maintain a respectful tone throughout.
<Action>trait_agreeableness_00727_act_001</Action>",trait_agreeableness_00727_act_001|trait_agreeableness_00727_act_002|trait_agreeableness_00727_act_003|trait_agreeableness_00727_act_004,"{""trait_agreeableness_00727_act_001"": ""high"", ""trait_agreeableness_00727_act_002"": ""low"", ""trait_agreeableness_00727_act_003"": ""high"", ""trait_agreeableness_00727_act_004"": ""low""}"
trait_agreeableness_00728,agreeableness,high,baseline,none,"[Speech] Short dialogue: Let's formalize our discussion by proposing this at the next meeting so everyone can weigh in.
<Action>trait_agreeableness_00728_act_001</Action>",trait_agreeableness_00728_act_001|trait_agreeableness_00728_act_002|trait_agreeableness_00728_act_003|trait_agreeableness_00728_act_004,"{""trait_agreeableness_00728_act_001"": ""low"", ""trait_agreeableness_00728_act_002"": ""low"", ""trait_agreeableness_00728_act_003"": ""high"", ""trait_agreeableness_00728_act_004"": ""high""}"
trait_agreeableness_00729,agreeableness,high,baseline,none,"[Speech] Sit down with her and remind her that forgiveness doesn't mean forgetting or condoning the hurt. It's about healing and moving forward.
<Action>trait_agreeableness_00729_act_004</Action>",trait_agreeableness_00729_act_001|trait_agreeableness_00729_act_002|trait_agreeableness_00729_act_003|trait_agreeableness_00729_act_004,"{""trait_agreeableness_00729_act_001"": ""high"", ""trait_agreeableness_00729_act_002"": ""high"", ""trait_agreeableness_00729_act_003"": ""low"", ""trait_agreeableness_00729_act_004"": ""low""}"
trait_agreeableness_00730,agreeableness,high,baseline,none,"[Speech] Short of withholding her paycheck, what other measures can we take?
<Action>trait_agreeableness_00730_act_002</Action>",trait_agreeableness_00730_act_001|trait_agreeableness_00730_act_002|trait_agreeableness_00730_act_003|trait_agreeableness_00730_act_004,"{""trait_agreeableness_00730_act_001"": ""low"", ""trait_agreeableness_00730_act_002"": ""high"", ""trait_agreeableness_00730_act_003"": ""low"", ""trait_agreeableness_00730_act_004"": ""high""}"
trait_agreeableness_00731,agreeableness,high,baseline,none,"[Speech] Perhaps you could delegate some of your responsibilities to other volunteers, which would allow you to continue supporting the charity while also managing your stress better.
<Action>trait_agreeableness_00731_act_001</Action>",trait_agreeableness_00731_act_001|trait_agreeableness_00731_act_002|trait_agreeableness_00731_act_003|trait_agreeableness_00731_act_004,"{""trait_agreeableness_00731_act_001"": ""high"", ""trait_agreeableness_00731_act_002"": ""low"", ""trait_agreeableness_00731_act_003"": ""high"", ""trait_agreeableness_00731_act_004"": ""low""}"
trait_agreeableness_00732,agreeableness,high,baseline,none,"[Speech] Short dialogue, but I think we should reschedule your retreat; I need to focus on helping my friend move this weekend.
<Action>trait_agreeableness_00732_act_002</Action>",trait_agreeableness_00732_act_001|trait_agreeableness_00732_act_002|trait_agreeableness_00732_act_003|trait_agreeableness_00732_act_004,"{""trait_agreeableness_00732_act_001"": ""low"", ""trait_agreeableness_00732_act_002"": ""low"", ""trait_agreeableness_00732_act_003"": ""high"", ""trait_agreeableness_00732_act_004"": ""high""}"
trait_agreeableness_00733,agreeableness,high,baseline,none,"[Speech] Perhaps reaching out to a colleague would be a better approach than rushing through my current task.
<Action>trait_agreeableness_00733_act_002</Action>",trait_agreeableness_00733_act_001|trait_agreeableness_00733_act_002|trait_agreeableness_00733_act_003|trait_agreeableness_00733_act_004,"{""trait_agreeableness_00733_act_001"": ""high"", ""trait_agreeableness_00733_act_002"": ""high"", ""trait_agreeableness_00733_act_003"": ""low"", ""trait_agreeableness_00733_act_004"": ""low""}"
trait_agreeableness_00734,agreeableness,high,baseline,none,"[Speech] It seems like our discussions have been too heated; perhaps we need a more structured approach to ensure everyone's voice is heard.
<Action>trait_agreeableness_00734_act_004</Action>",trait_agreeableness_00734_act_001|trait_agreeableness_00734_act_002|trait_agreeableness_00734_act_003|trait_agreeableness_00734_act_004,"{""trait_agreeableness_00734_act_001"": ""low"", ""trait_agreeableness_00734_act_002"": ""high"", ""trait_agreeableness_00734_act_003"": ""low"", ""trait_agreeableness_00734_act_004"": ""high""}"
trait_agreeableness_00735,agreeableness,high,baseline,none,"[Speech] Maybe you can ask your friend how they feel about their project first to understand their perspective before sharing your thoughts.
<Action>trait_agreeableness_00735_act_001</Action>",trait_agreeableness_00735_act_001|trait_agreeableness_00735_act_002|trait_agreeableness_00735_act_003|trait_agreeableness_00735_act_004,"{""trait_agreeableness_00735_act_001"": ""high"", ""trait_agreeableness_00735_act_002"": ""low"", ""trait_agreeableness_00735_act_003"": ""high"", ""trait_agreeableness_00735_act_004"": ""low""}"
trait_agreeableness_00736,agreeableness,high,baseline,none,"[Speech] Short-term gains, long-term losses; it's a tough call.
<Action>trait_agreeableness_00736_act_004</Action>",trait_agreeableness_00736_act_001|trait_agreeableness_00736_act_002|trait_agreeableness_00736_act_003|trait_agreeableness_00736_act_004,"{""trait_agreeableness_00736_act_001"": ""low"", ""trait_agreeableness_00736_act_002"": ""low"", ""trait_agreeableness_00736_act_003"": ""high"", ""trait_agreeableness_00736_act_004"": ""high""}"
trait_agreeableness_00737,agreeableness,high,baseline,none,"[Speech] Short dialogue: Defending PersonZ doesn't mean always agreeing; it means standing up for what's right and fair.
<Action>trait_agreeableness_00737_act_004</Action>",trait_agreeableness_00737_act_001|trait_agreeableness_00737_act_002|trait_agreeableness_00737_act_003|trait_agreeableness_00737_act_004,"{""trait_agreeableness_00737_act_001"": ""high"", ""trait_agreeableness_00737_act_002"": ""high"", ""trait_agreeableness_00737_act_003"": ""low"", ""trait_agreeableness_00737_act_004"": ""low""}"
trait_agreeableness_00738,agreeableness,high,baseline,none,"[Speech] Short-term relief might ease their immediate stress; how about preparing some extra meals?
<Action>trait_agreeableness_00738_act_004</Action>",trait_agreeableness_00738_act_001|trait_agreeableness_00738_act_002|trait_agreeableness_00738_act_003|trait_agreeableness_00738_act_004,"{""trait_agreeableness_00738_act_001"": ""low"", ""trait_agreeableness_00738_act_002"": ""high"", ""trait_agreeableness_00738_act_003"": ""low"", ""trait_agreeableness_00738_act_004"": ""high""}"
trait_agreeableness_00739,agreeableness,high,baseline,none,"[Speech] Short dialogue, Destinnie, let's consider this together. Weighing the pros and cons will help us make an informed choice.
<Action>trait_agreeableness_00739_act_003</Action>",trait_agreeableness_00739_act_001|trait_agreeableness_00739_act_002|trait_agreeableness_00739_act_003|trait_agreeableness_00739_act_004,"{""trait_agreeableness_00739_act_001"": ""high"", ""trait_agreeableness_00739_act_002"": ""low"", ""trait_agreeableness_00739_act_003"": ""high"", ""trait_agreeableness_00739_act_004"": ""low""}"
trait_agreeableness_00740,agreeableness,high,baseline,none,"[Speech] Short on-stage confrontation might not be constructive; let's try a private chat instead.
<Action>trait_agreeableness_00740_act_003</Action>",trait_agreeableness_00740_act_001|trait_agreeableness_00740_act_002|trait_agreeableness_00740_act_003|trait_agreeableness_00740_act_004,"{""trait_agreeableness_00740_act_001"": ""low"", ""trait_agreeableness_00740_act_002"": ""low"", ""trait_agreeableness_00740_act_003"": ""high"", ""trait_agreeableness_00740_act_004"": ""high""}"
trait_agreeableness_00741,agreeableness,high,baseline,none,"[Speech] It seems like you're overextending yourself by trying to help Janya too much. Let's have a talk about balancing support with her responsibilities.
<Action>trait_agreeableness_00741_act_001</Action>",trait_agreeableness_00741_act_001|trait_agreeableness_00741_act_002|trait_agreeableness_00741_act_003|trait_agreeableness_00741_act_004,"{""trait_agreeableness_00741_act_001"": ""high"", ""trait_agreeableness_00741_act_002"": ""high"", ""trait_agreeableness_00741_act_003"": ""low"", ""trait_agreeableness_00741_act_004"": ""low""}"
trait_agreeableness_00742,agreeableness,high,baseline,none,"[Speech] Short help, while appreciated, can sometimes lead to burnout. Let's discuss this further.
<Action>trait_agreeableness_00742_act_004</Action>",trait_agreeableness_00742_act_001|trait_agreeableness_00742_act_002|trait_agreeableness_00742_act_003|trait_agreeableness_00742_act_004,"{""trait_agreeableness_00742_act_001"": ""low"", ""trait_agreeableness_00742_act_002"": ""high"", ""trait_agreeableness_00742_act_003"": ""low"", ""trait_agreeableness_00742_act_004"": ""high""}"
trait_agreeableness_00743,agreeableness,high,baseline,none,"[Speech] Maybe you could offer to help train someone else to share the workload, easing the burden on you.
<Action>trait_agreeableness_00743_act_001</Action>",trait_agreeableness_00743_act_001|trait_agreeableness_00743_act_002|trait_agreeableness_00743_act_003|trait_agreeableness_00743_act_004,"{""trait_agreeableness_00743_act_001"": ""high"", ""trait_agreeableness_00743_act_002"": ""low"", ""trait_agreeableness_00743_act_003"": ""high"", ""trait_agreeableness_00743_act_004"": ""low""}"
trait_agreeableness_00744,agreeableness,high,baseline,none,"[Speech] Short dialogue: I'll address this directly; it's important to clear the air.
<Action>trait_agreeableness_00744_act_002</Action>",trait_agreeableness_00744_act_001|trait_agreeableness_00744_act_002|trait_agreeableness_00744_act_003|trait_agreeableness_00744_act_004,"{""trait_agreeableness_00744_act_001"": ""low"", ""trait_agreeableness_00744_act_002"": ""low"", ""trait_agreeableness_00744_act_003"": ""high"", ""trait_agreeableness_00744_act_004"": ""high""}"
trait_agreeableness_00745,agreeableness,high,baseline,none,"[Speech] Short dialogue: Perhaps lending it out would be more beneficial for both of us.
<Action>trait_agreeableness_00745_act_002</Action>",trait_agreeableness_00745_act_001|trait_agreeableness_00745_act_002|trait_agreeableness_00745_act_003|trait_agreeableness_00745_act_004,"{""trait_agreeableness_00745_act_001"": ""high"", ""trait_agreeableness_00745_act_002"": ""high"", ""trait_agreeableness_00745_act_003"": ""low"", ""trait_agreeableness_00745_act_004"": ""low""}"
trait_agreeableness_00746,agreeableness,high,baseline,none,"[Speech] Short dialogue: Offering to help would be a great way to boost morale and ensure the project stays on track.
<Action>trait_agreeableness_00746_act_002</Action>",trait_agreeableness_00746_act_001|trait_agreeableness_00746_act_002|trait_agreeableness_00746_act_003|trait_agreeableness_00746_act_004,"{""trait_agreeableness_00746_act_001"": ""low"", ""trait_agreeableness_00746_act_002"": ""high"", ""trait_agreeableness_00746_act_003"": ""low"", ""trait_agreeableness_00746_act_004"": ""high""}"
trait_agreeableness_00747,agreeableness,high,baseline,none,"[Speech] Let's have a brief team check-in where everyone updates the group on their progress, including Carielle.
<Action>trait_agreeableness_00747_act_001</Action>",trait_agreeableness_00747_act_001|trait_agreeableness_00747_act_002|trait_agreeableness_00747_act_003|trait_agreeableness_00747_act_004,"{""trait_agreeableness_00747_act_001"": ""high"", ""trait_agreeableness_00747_act_002"": ""low"", ""trait_agreeableness_00747_act_003"": ""high"", ""trait_agreeableness_00747_act_004"": ""low""}"
trait_agreeableness_00748,agreeableness,high,baseline,none,"[Speech] Short dialogue: Considering the impact on the team, I believe reporting this to our supervisor would be the best course of action.
<Action>trait_agreeableness_00748_act_002</Action>",trait_agreeableness_00748_act_001|trait_agreeableness_00748_act_002|trait_agreeableness_00748_act_003|trait_agreeableness_00748_act_004,"{""trait_agreeableness_00748_act_001"": ""low"", ""trait_agreeableness_00748_act_002"": ""low"", ""trait_agreeableness_00748_act_003"": ""high"", ""trait_agreeableness_00748_act_004"": ""high""}"
trait_agreeableness_00749,agreeableness,high,baseline,none,"[Speech] Perhaps you could involve a mediator from HR to help facilitate a constructive conversation with Tagert, which might improve our work environment.
<Action>trait_agreeableness_00749_act_002</Action>",trait_agreeableness_00749_act_001|trait_agreeableness_00749_act_002|trait_agreeableness_00749_act_003|trait_agreeableness_00749_act_004,"{""trait_agreeableness_00749_act_001"": ""high"", ""trait_agreeableness_00749_act_002"": ""high"", ""trait_agreeableness_00749_act_003"": ""low"", ""trait_agreeableness_00749_act_004"": ""low""}"
trait_agreeableness_00750,agreeableness,high,baseline,none,"[Speech] Short dialogue: ""We mustn't let complacency set in; we need to keep pushing boundaries.""
<Action>trait_agreeableness_00750_act_004</Action>",trait_agreeableness_00750_act_001|trait_agreeableness_00750_act_002|trait_agreeableness_00750_act_003|trait_agreeableness_00750_act_004,"{""trait_agreeableness_00750_act_001"": ""low"", ""trait_agreeableness_00750_act_002"": ""high"", ""trait_agreeableness_00750_act_003"": ""low"", ""trait_agreeableness_00750_act_004"": ""high""}"
trait_agreeableness_00701,agreeableness,low,baseline,none,"[Speech] Perhaps we should seek input from others to balance our ideas and ensure everyone's voice is heard.
<Action>trait_agreeableness_00701_act_002</Action>",trait_agreeableness_00701_act_001|trait_agreeableness_00701_act_002|trait_agreeableness_00701_act_003|trait_agreeableness_00701_act_004,"{""trait_agreeableness_00701_act_001"": ""high"", ""trait_agreeableness_00701_act_002"": ""high"", ""trait_agreeableness_00701_act_003"": ""low"", ""trait_agreeableness_00701_act_004"": ""low""}"
trait_agreeableness_00702,agreeableness,low,baseline,none,"[Speech] Short-term sacrifice for long-term success; let's handle this new project carefully.
<Action>trait_agreeableness_00702_act_002</Action>",trait_agreeableness_00702_act_001|trait_agreeableness_00702_act_002|trait_agreeableness_00702_act_003|trait_agreeableness_00702_act_004,"{""trait_agreeableness_00702_act_001"": ""low"", ""trait_agreeableness_00702_act_002"": ""high"", ""trait_agreeableness_00702_act_003"": ""low"", ""trait_agreeableness_00702_act_004"": ""high""}"
trait_agreeableness_00703,agreeableness,low,baseline,none,"[Speech] Consider setting aside a portion of your bonus for your vacation and donate a portion to your friend to ease their burden.
<Action>trait_agreeableness_00703_act_001</Action>",trait_agreeableness_00703_act_001|trait_agreeableness_00703_act_002|trait_agreeableness_00703_act_003|trait_agreeableness_00703_act_004,"{""trait_agreeableness_00703_act_001"": ""high"", ""trait_agreeableness_00703_act_002"": ""low"", ""trait_agreeableness_00703_act_003"": ""high"", ""trait_agreeableness_00703_act_004"": ""low""}"
trait_agreeableness_00704,agreeableness,low,baseline,none,"[Speech] I understand the benefits of cooperation, but let's not overlook the importance of individual input and feedback.
<Action>trait_agreeableness_00704_act_004</Action>",trait_agreeableness_00704_act_001|trait_agreeableness_00704_act_002|trait_agreeableness_00704_act_003|trait_agreeableness_00704_act_004,"{""trait_agreeableness_00704_act_001"": ""low"", ""trait_agreeableness_00704_act_002"": ""low"", ""trait_agreeableness_00704_act_003"": ""high"", ""trait_agreeableness_00704_act_004"": ""high""}"
trait_agreeableness_00705,agreeableness,low,baseline,none,"[Speech] It seems wise to maintain a cooperative tone while still ensuring our rights are respected.
<Action>trait_agreeableness_00705_act_002</Action>",trait_agreeableness_00705_act_001|trait_agreeableness_00705_act_002|trait_agreeableness_00705_act_003|trait_agreeableness_00705_act_004,"{""trait_agreeableness_00705_act_001"": ""high"", ""trait_agreeableness_00705_act_002"": ""high"", ""trait_agreeableness_00705_act_003"": ""low"", ""trait_agreeableness_00705_act_004"": ""low""}"
